GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SIGET,es.uclm.esi.payload.request,LoginRequest,17,0,0,0,7,0,5,0,5,0
SIGET,es.uclm.esi.payload.request,CalendarioMesRequest,8,15,0,0,4,6,2,3,2,3
SIGET,es.uclm.esi.payload.request,CalendarioDiaRequest,12,21,0,0,6,8,3,4,3,4
SIGET,es.uclm.esi.payload.request,SignupRequest,4,27,0,0,2,11,1,8,1,8
SIGET,es.uclm.esi.model,User,37,23,0,0,15,8,6,6,6,6
SIGET,es.uclm.esi.model,Role,17,6,0,0,8,3,4,2,4,2
SIGET,es.uclm.esi.model,Reunion,53,61,0,0,19,26,5,18,5,18
SIGET,es.uclm.esi.model,Asistente,31,9,0,0,7,4,5,1,5,1
SIGET,es.uclm.esi.model,ERole,0,24,0,0,0,3,0,1,0,1
SIGET,es.uclm.esi,SigetApplication,5,3,0,0,2,1,1,1,1,1
SIGET,es.uclm.esi.payload.response,MessageResponse,13,0,0,0,6,0,3,0,3,0
SIGET,es.uclm.esi.payload.response,JwtResponse,59,0,0,0,24,0,12,0,12,0
SIGET,es.uclm.esi.controller,ControllerConvocarReunion,364,3,40,0,92,1,29,1,8,1
SIGET,es.uclm.esi.controller,PruebaController,29,3,0,0,5,1,1,1,1,1
SIGET,es.uclm.esi.controller,ControllerCalendarioPersonal,271,3,16,0,50,1,10,1,2,1
SIGET,es.uclm.esi.controller,TestRolesController,6,3,0,0,3,1,3,1,3,1
SIGET,es.uclm.esi.controller,ControllerCancelarAceptarReunion,174,3,14,0,32,1,12,1,5,1
SIGET,es.uclm.esi.controller,AuthController,124,3,4,0,30,1,6,1,4,1
SIGET,es.uclm.esi.security.jwt,AuthEntryPointJwt,10,7,0,0,3,2,1,2,1,2
SIGET,es.uclm.esi.security.jwt,JwtUtils,55,37,0,0,15,9,2,3,2,3
SIGET,es.uclm.esi.security.jwt,AuthTokenFilter,69,7,8,0,17,2,6,2,2,2
SIGET,es.uclm.esi.security.services,UserDetailsImpl,29,64,6,0,8,22,6,10,3,10
SIGET,es.uclm.esi.security.services,UserDetailsServiceImpl,12,15,0,0,0,4,1,2,1,2
SIGET,es.uclm.esi.config,TomcatConfig.new TomcatConnectorCustomizer() {...},6,6,0,0,2,1,1,1,1,1
SIGET,es.uclm.esi.config,TomcatConfig,0,20,0,0,0,4,0,2,0,2
SIGET,es.uclm.esi.security,WebSecurityConfig,0,80,0,0,0,15,0,6,0,6
SIGET,es.uclm.esi.utilities,PoliticaContraSegura,79,0,14,0,21,0,14,0,7,0
